Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;7-ET-1435-RN;7ET1435RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,3975;0;0,3975;718
Rio Grande do Norte;Potiguar;7-ET-1130-RN;7ET1130RN;ESTREITO;Petrobras;4,8E+14;2020/11;11,4802;0;11,4802;720
Rio Grande do Norte;Potiguar;7-ET-1334-RN;7ET1334RN;ESTREITO;Petrobras;4,8E+14;2020/11;13,782;0;13,782;720
Rio Grande do Norte;Potiguar;7-ET-1351-RN;7ET1351RN;ESTREITO;Petrobras;4,8E+14;2020/11;16,3353;0;16,3353;720
Rio Grande do Norte;Potiguar;7-ET-1366-RN;7ET1366RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,4761;0;0,4761;675
Rio Grande do Norte;Potiguar;7-ET-1349-RN;7ET1349RN;ESTREITO;Petrobras;4,8E+14;2020/11;11,1009;0;11,1009;713
Rio Grande do Norte;Potiguar;7-ET-1370-RN;7ET1370RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,3122;0;0,3122;231
Rio Grande do Norte;Potiguar;7-ET-1375-RN;7ET1375RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,02;0;1,02;719
Rio Grande do Norte;Potiguar;7-ET-1429D-RN;7ET1429DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,2607;0;1,2607;715
Rio Grande do Norte;Potiguar;7-ET-1135-RN;7ET1135RN;ESTREITO;Petrobras;4,8E+14;2020/11;6,6357;0;6,6357;720
Rio Grande do Norte;Potiguar;7-ET-1428D-RN;7ET1428DRN;ESTREITO;Petrobras;4,8E+14;2020/11;4,3752;0;4,3752;715
Rio Grande do Norte;Potiguar;7-ET-1389-RN;7ET1389RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,4761;0;0,4761;675
Rio Grande do Norte;Potiguar;7-ET-1392-RN;7ET1392RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1419D-RN;7ET1419DRN;ESTREITO;Petrobras;4,8E+14;2020/11;13,5541;0;13,5541;720
Rio Grande do Norte;Potiguar;7-ET-1363-RN;7ET1363RN;ESTREITO;Petrobras;4,8E+14;2020/11;7,639;0;7,639;720
Rio Grande do Norte;Potiguar;7-ET-1353-RN;7ET1353RN;ESTREITO;Petrobras;4,8E+14;2020/11;5,96;0;5,96;720
Rio Grande do Norte;Potiguar;7-ET-1458D-RN;7ET1458DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1336-RN;7ET1336RN;ESTREITO;Petrobras;4,8E+14;2020/11;37,0898;0;37,0898;720
Rio Grande do Norte;Potiguar;7-ET-1388-RN;7ET1388RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1326-RN;7ET1326RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1132-RN;7ET1132RN;ESTREITO;Petrobras;4,8E+14;2020/11;4,6876;0;4,6876;719
Rio Grande do Norte;Potiguar;7-ET-1425D-RN;7ET1425DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5894;0;1,5894;718
Rio Grande do Norte;Potiguar;7-ET-1276D-RN;7ET1276DRN;ESTREITO;Petrobras;4,8E+14;2020/11;6,1701;0;6,1701;720
Rio Grande do Norte;Potiguar;7-ET-1266-RN;7ET1266RN;ESTREITO;Petrobras;4,8E+14;2020/11;5,6153;0;5,6153;720
Rio Grande do Norte;Potiguar;7-ET-1278D-RN;7ET1278DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,9217;0;0,9217;720
Rio Grande do Norte;Potiguar;7-RP-93-RN;7RP  0093  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1287D-RN;7ET1287DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,0213;0;1,0213;720
Rio Grande do Norte;Potiguar;7-ET-1274-RN;7ET1274RN;ESTREITO;Petrobras;4,8E+14;2020/11;2,9575;0;2,9575;720
Rio Grande do Norte;Potiguar;7-ET-1277-RN;7ET1277RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1281-RN;7ET1281RN;ESTREITO;Petrobras;4,8E+14;2020/11;4,0282;0;4,0282;719
Rio Grande do Norte;Potiguar;7-ET-1286D-RN;7ET1286DRN;ESTREITO;Petrobras;4,8E+14;2020/11;9,0993;0;9,0993;719
Rio Grande do Norte;Potiguar;7-ET-399-RN;7ET  0399  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1288-RN;7ET1288RN;ESTREITO;Petrobras;4,8E+14;2020/11;4,0831;0;4,0831;720
